bin_label,window,driver,rho_abs,p_adj,alpha_used
Cold,1.0,SII,0.05846654747923207,0.0033505698914953583,0.2195190074311728
Cold,2.0,SII,0.06263178214430803,0.004442398708135273,0.2122642567833444
Cold,3.0,SII,0.06616327414909993,0.0022750869981885127,0.22947561956144147
Cold,4.0,SII,0.06931786860028898,0.0012534398478289777,0.2448081315336181
Cold,5.0,SII,0.07136016959945357,0.0004651542997548123,0.2703040193230119
Cold,6.0,SII,0.0753349860509236,0.00012425717155182888,0.304255123921162
Cold,7.0,SII,0.07799484084049857,4.409520800851917e-05,0.3309013363783451
Cold,8.0,SII,0.0793961038192113,2.965466861404309e-05,0.3411053613545932
Cold,9.0,SII,0.08174396554629003,1.5570810381726474e-05,0.3576748849175851
Cold,10.0,SII,0.0830852513511975,1.4924181234092044e-05,0.35876581429739546
Cold,11.0,SII,0.0839796438813209,1.1580459410446645e-05,0.36529010083202373
Cold,12.0,SII,0.08459151287873583,1.4593118141892347e-05,0.3593427894822735
Cold,13.0,SII,0.08567053824663161,1.5740193521092866e-05,0.3573966047871931
Cold,14.0,SII,0.08608424663543697,1.7280900462823823e-05,0.3549947386023266
Cold,15.0,SII,0.08574684709310526,1.4774561026905294e-05,0.359024969925423
Cold,16.0,SII,0.08377431333065029,3.121491420580528e-05,0.3397865199993413
Cold,17.0,SII,0.08345857510964073,5.168154886728645e-05,0.3268182578369835
Cold,18.0,SII,0.08412366112073259,5.278696295806464e-05,0.32627392996404125
Cold,19.0,SII,0.08385160068670906,9.259084326263847e-05,0.31182106610961335
Cold,20.0,SII,0.08555641770362854,0.00010212475291055568,0.30930035840072456
Cold,21.0,SII,0.0860390687982241,0.00014296021532340727,0.30064881400151844
Cold,22.0,SII,0.08697820206483199,0.0001102068976812407,0.30734139401661703
Cold,23.0,SII,0.08676994095245993,0.000123626860404768,0.3043859252476231
Cold,24.0,SII,0.08588920036951693,0.00014052877187762134,0.3010900220292936
Cold,25.0,SII,0.08461843182643251,0.00019426382932507172,0.29276168604144975
Cold,26.0,SII,0.08277530098954833,0.00032201174699447385,0.27976343366532774
Cold,27.0,SII,0.08006053417921061,0.0005529325838114361,0.26585784342744995
Cold,28.0,SII,0.07749810193975763,0.0009922043874252353,0.25081940635818223
Cold,30.0,SII,0.0731153090794881,0.0035338006663638718,0.21814957207554633
Cold,40.0,SII,0.055085788170496565,0.05836106476598183,0.15000000000005925
Cold,50.0,SII,0.020826259162276966,0.3022395041541844,0.15000000000005925
Cold,60.0,SII,0.0158644213030735,0.47804888563728665,0.15000000000005925
Cold,75.0,SII,0.08110037694374712,6.766464997099893e-05,0.3198876071070872
Cold,90.0,SII,0.12594381719827646,8.51235827899662e-07,0.4324297984980548
Cold,1.0,PAR,0.2299926429986953,1e-16,1.0
Cold,2.0,PAR,0.228437066078186,1e-16,1.0
Cold,3.0,PAR,0.2275366187095642,1e-16,1.0
Cold,4.0,PAR,0.222977876663208,1e-16,1.0
Cold,5.0,PAR,0.2185252010822296,1e-16,1.0
Cold,6.0,PAR,0.2141347378492355,1e-16,1.0
Cold,7.0,PAR,0.2071465849876403,1e-16,1.0
Cold,8.0,PAR,0.2012379169464111,1e-16,1.0
Cold,9.0,PAR,0.1944900006055832,1e-16,1.0
Cold,10.0,PAR,0.1878990978002548,1e-16,1.0
Cold,11.0,PAR,0.1800956279039383,1e-16,1.0
Cold,12.0,PAR,0.1731582134962082,1e-16,1.0
Cold,13.0,PAR,0.1670182943344116,1e-16,1.0
Cold,14.0,PAR,0.1605742573738098,1e-16,1.0
Cold,15.0,PAR,0.1544280499219894,1e-16,1.0
Cold,16.0,PAR,0.1486275196075439,1e-16,1.0
Cold,17.0,PAR,0.142978087067604,1e-16,1.0
Cold,18.0,PAR,0.1369104981422424,1e-16,1.0
Cold,19.0,PAR,0.131332442164421,1e-16,1.0
Cold,20.0,PAR,0.1256833672523498,1e-16,1.0
Cold,21.0,PAR,0.1204602569341659,1e-16,1.0
Cold,22.0,PAR,0.1154998317360878,1e-16,1.0
Cold,23.0,PAR,0.1102473810315132,1e-16,1.0
Cold,24.0,PAR,0.104943037033081,1e-16,1.0
Cold,25.0,PAR,0.100071370601654,1e-16,1.0
Cold,26.0,PAR,0.0953187718987464,1.1102230246251563e-15,0.9586048931554532
Cold,27.0,PAR,0.0907193645834922,2.886579864025407e-14,0.8748059138600842
Cold,28.0,PAR,0.0865783169865608,4.849454171562684e-13,0.802239411263396
Cold,30.0,PAR,0.0782167166471481,8.770917325762184e-11,0.6685522241427979
Cold,40.0,PAR,0.0402203649282455,0.0011100803217662,0.24793209154788307
Cold,50.0,PAR,0.0149104828014969,0.2304551629665481,0.15000000000005925
Cold,60.0,PAR,0.0003383225412108,0.9782599115378514,0.15000000000005925
Cold,75.0,PAR,0.0013178795343264,0.9139711527039722,0.15000000000005925
Cold,90.0,PAR,0.0214872658252716,0.0675615292066114,0.15000000000005925
Cold,1.0,VPD,0.1528020054101944,1e-16,1.0
Cold,2.0,VPD,0.146431416273117,1e-16,1.0
Cold,3.0,VPD,0.1398450583219528,1e-16,1.0
Cold,4.0,VPD,0.1335294395685196,1e-16,1.0
Cold,5.0,VPD,0.1263756453990936,1e-16,1.0
Cold,6.0,VPD,0.119181290268898,1e-16,1.0
Cold,7.0,VPD,0.1090387850999832,1e-16,1.0
Cold,8.0,VPD,0.1003634110093116,1e-16,1.0
Cold,9.0,VPD,0.0912022218108177,1e-16,1.0
Cold,10.0,VPD,0.081605851650238,1e-16,1.0
Cold,11.0,VPD,0.0722221583127975,1e-16,1.0
Cold,12.0,VPD,0.0625712946057319,1.6819878823071126e-12,0.7702512872361951
Cold,13.0,VPD,0.053401656448841,3.4812839277975627e-09,0.5738727296934931
Cold,14.0,VPD,0.0434169620275497,2.460117198621603e-06,0.4051335640846927
Cold,15.0,VPD,0.0346340201795101,0.000235475676561,0.28781336034802374
Cold,16.0,VPD,0.0258237738162279,0.0073256112425021,0.19939945968263773
Cold,17.0,VPD,0.0166640747338533,0.0904492753565209,0.15000000000005925
Cold,18.0,VPD,0.0076613286510109,0.4460088111239897,0.15000000000005925
Cold,19.0,VPD,0.0011138521367684,0.9135302051206468,0.15000000000005925
Cold,20.0,VPD,0.009690199047327,0.3544187089222483,0.15000000000005925
Cold,21.0,VPD,0.0178295467048883,0.094320125366234,0.15000000000005925
Cold,22.0,VPD,0.0256465934216976,0.017986154605996,0.1762968922982552
Cold,23.0,VPD,0.0332068875432014,0.0025590335353253,0.2264506285622509
Cold,24.0,VPD,0.0406146049499511,0.0002755524147204,0.2837709062624699
Cold,25.0,VPD,0.0474199801683425,2.779539733821501e-05,0.34277072353203525
Cold,26.0,VPD,0.0541178248822689,2.338302628412947e-06,0.40643973224462454
Cold,27.0,VPD,0.0605316199362278,1.81727460413228e-07,0.472146485745335
Cold,28.0,VPD,0.0668298229575157,1.2338998489624942e-08,0.5413272897402011
Cold,30.0,VPD,0.0786668211221695,5.327516205966276e-11,0.6813752041368873
Cold,40.0,VPD,0.1280738711357116,1e-16,1.0
Cold,50.0,VPD,0.1607119590044021,1e-16,1.0
Cold,60.0,VPD,0.1774363815784454,1e-16,1.0
Cold,75.0,VPD,0.1757049113512039,1e-16,1.0
Cold,90.0,VPD,0.1476309299468994,1e-16,1.0
Cool,1.0,SII,0.023676972525815132,0.10639393640672767,0.15000000000005925
Cool,2.0,SII,0.024416086574395434,0.14108418922345553,0.15000000000005925
Cool,3.0,SII,0.027831420612831868,0.0729968486389047,0.15000000000005925
Cool,4.0,SII,0.0271313426395257,0.07965397688002163,0.15000000000005925
Cool,5.0,SII,0.02537431598951417,0.1349575063006435,0.15000000000005925
Cool,6.0,SII,0.0243326192721724,0.1785848524384386,0.15000000000005925
Cool,7.0,SII,0.021546638570725835,0.2713882624622436,0.15000000000005925
Cool,8.0,SII,0.0190886193110297,0.2836872591427198,0.15000000000005925
Cool,9.0,SII,0.018995772581547467,0.2848304342045745,0.15000000000005925
Cool,10.0,SII,0.020441490128481166,0.3289595931714618,0.15000000000005925
Cool,11.0,SII,0.019303749625881498,0.2679144467815953,0.15000000000005925
Cool,12.0,SII,0.019271178481479467,0.2486132001313959,0.15000000000005925
Cool,13.0,SII,0.020817764801904535,0.2800719430227714,0.15000000000005925
Cool,14.0,SII,0.0198572698670129,0.24507707186018116,0.15000000000005925
Cool,15.0,SII,0.0171768485258023,0.19573923874661367,0.15000000000005925
Cool,16.0,SII,0.01608342320347827,0.19703832486062142,0.15000000000005925
Cool,17.0,SII,0.014570354173580801,0.16477490086282376,0.15000000000005925
Cool,18.0,SII,0.011850836997230834,0.150690724920033,0.15000000000005925
Cool,19.0,SII,0.009166460794707133,0.1440991605379129,0.15000000000005925
Cool,20.0,SII,0.008697416943808366,0.14315358961536784,0.15000000000005925
Cool,21.0,SII,0.0082200830802321,0.13867343976654115,0.15000000000005925
Cool,22.0,SII,0.007921740102271235,0.13854767332564563,0.15000000000005925
Cool,23.0,SII,0.007684278301894633,0.14941142009994682,0.15000000000005925
Cool,24.0,SII,0.008224647802611167,0.1700242617949597,0.15000000000005925
Cool,25.0,SII,0.007864096822837965,0.17578983654900251,0.15000000000005925
Cool,26.0,SII,0.0074582283074657,0.18009897172969414,0.15000000000005925
