bin_label,window,driver,rho_abs,p_adj,alpha_used
Cold,1.0,SII,0.05482135092218713,0.00266674377789915,0.22539022203525064
Cold,2.0,SII,0.058355323970317806,0.0036979821593347956,0.21698153068729026
Cold,3.0,SII,0.0610825829207897,0.0022084029880213778,0.23024076203033728
Cold,4.0,SII,0.06437300145626063,0.001038859346185694,0.24963757519505683
Cold,5.0,SII,0.06644402320186293,0.0003343088430841741,0.27879951111272705
Cold,6.0,SII,0.0698047094047069,9.933322047496044e-05,0.3100131963167046
Cold,7.0,SII,0.071887657046318,3.705638407886011e-05,0.33537435291667705
Cold,8.0,SII,0.07280862828095751,2.7206207943904676e-05,0.34332178614172887
Cold,9.0,SII,0.07457696646451943,1.6638955836774844e-05,0.35596838261632413
Cold,10.0,SII,0.07579929878314333,1.6448976922989186e-05,0.3562637382874908
Cold,11.0,SII,0.07632723202308013,1.3103850328229546e-05,0.3621114162616137
Cold,12.0,SII,0.07651532938083007,1.8957775269464367e-05,0.35261272983788994
Cold,13.0,SII,0.07716770221789673,2.1449950428446368e-05,0.34943607147060907
Cold,14.0,SII,0.07728416969378787,2.396394965738698e-05,0.34658554334149067
Cold,15.0,SII,0.0768612350026766,1.9699501416633087e-05,0.3516256087885201
Cold,16.0,SII,0.07477141668399169,4.475166097516849e-05,0.3305212571227224
Cold,17.0,SII,0.07436149691541984,7.447328806950127e-05,0.31742163864005835
Cold,18.0,SII,0.07501891503731405,6.95017173125204e-05,0.3191986246175291
Cold,19.0,SII,0.07462655256191887,0.00012045656970451279,0.3050540998885589
Cold,20.0,SII,0.07611252988378203,0.00013780625817417431,0.301593199089431
Cold,21.0,SII,0.07664411514997477,0.0001785302912843571,0.29493398788961767
Cold,22.0,SII,0.07739808286229764,0.00014410971443506714,0.3004428325879662
Cold,23.0,SII,0.07718435054024057,0.00016381584008967764,0.29714632381099476
Cold,24.0,SII,0.07617531592647232,0.00019369455657959793,0.2928371675091077
Cold,25.0,SII,0.07501953591903046,0.000260517555160031,0.2852140067851183
Cold,26.0,SII,0.07342220346132909,0.0004309258045231057,0.27226989978628224
Cold,27.0,SII,0.07108654702703153,0.0007196505521762647,0.2590798008640518
Cold,28.0,SII,0.06868480021754897,0.0012885314723259241,0.24409795683760524
Cold,30.0,SII,0.06462897360324853,0.004633648721344667,0.2111801456985664
Cold,40.0,SII,0.048022107531626966,0.07402373723778251,0.15000000000005925
Cold,50.0,SII,0.015556930874784767,0.28121962132066713,0.15000000000005925
Cold,60.0,SII,0.019727005623280967,0.32001864651507245,0.15000000000005925
Cold,75.0,SII,0.0809887821475664,1.9312201842221672e-05,0.35213631501463116
Cold,90.0,SII,0.12236436208089185,1.947040731605417e-07,0.47037249133966885
Cold,1.0,PAR,0.1907965838909149,1e-16,1.0
Cold,2.0,PAR,0.1889277249574661,1e-16,1.0
Cold,3.0,PAR,0.1873999536037445,1e-16,1.0
Cold,4.0,PAR,0.1825930625200271,1e-16,1.0
Cold,5.0,PAR,0.1780945509672165,1e-16,1.0
Cold,6.0,PAR,0.1733883172273636,1e-16,1.0
Cold,7.0,PAR,0.1668134182691574,1e-16,1.0
Cold,8.0,PAR,0.1612984836101532,1e-16,1.0
Cold,9.0,PAR,0.1550099104642868,1e-16,1.0
Cold,10.0,PAR,0.1489098370075225,1e-16,1.0
Cold,11.0,PAR,0.1418431997299194,1e-16,1.0
Cold,12.0,PAR,0.1355433613061905,1e-16,1.0
Cold,13.0,PAR,0.1299349516630172,1e-16,1.0
Cold,14.0,PAR,0.1241912171244621,1e-16,1.0
Cold,15.0,PAR,0.1187454164028167,1e-16,1.0
Cold,16.0,PAR,0.1136360242962837,1e-16,1.0
Cold,17.0,PAR,0.1086567938327789,1e-16,1.0
Cold,18.0,PAR,0.1033266112208366,1e-16,1.0
Cold,19.0,PAR,0.0984071493148803,1e-16,1.0
Cold,20.0,PAR,0.09348014742136,1e-16,1.0
Cold,21.0,PAR,0.0889481604099273,2.4424906541753444e-15,0.9383255916536721
Cold,22.0,PAR,0.0845948010683059,6.927791673660978e-14,0.8522886600773547
Cold,23.0,PAR,0.0800502896308898,1.751487843648647e-12,0.769209894166452
Cold,24.0,PAR,0.0754899680614471,3.49194007043252e-11,0.6922401387918579
Cold,25.0,PAR,0.0712872818112373,4.586997448541297e-10,0.6260014704843263
Cold,26.0,PAR,0.0671778321266174,4.81540318730822e-09,0.5655286098043014
Cold,27.0,PAR,0.0631662532687187,4.1055941091272536e-08,0.5104071876920853
Cold,28.0,PAR,0.0595429614186286,2.515760180177296e-07,0.46378131382584836
Cold,30.0,PAR,0.0522499531507492,6.753511464063777e-06,0.37915990136651506
Cold,40.0,PAR,0.0194408819079399,0.0995289089220254,0.15000000000005925
Cold,50.0,PAR,0.0023306098300963,0.8442236815451913,0.15000000000005925
Cold,60.0,PAR,0.0153137268498539,0.1954922278681876,0.15000000000005925
Cold,75.0,PAR,0.0159457940608263,0.1713005681251,0.15000000000005925
Cold,90.0,PAR,0.0037926423829048,0.7377654333316785,0.15000000000005925
Cold,1.0,VPD,0.1381042003631591,1e-16,1.0
Cold,2.0,VPD,0.13095024228096,1e-16,1.0
Cold,3.0,VPD,0.1238925606012344,1e-16,1.0
Cold,4.0,VPD,0.1172179877758026,1e-16,1.0
Cold,5.0,VPD,0.1094737127423286,1e-16,1.0
Cold,6.0,VPD,0.1015700176358223,1e-16,1.0
Cold,7.0,VPD,0.0915376469492912,1e-16,1.0
Cold,8.0,VPD,0.0829012021422386,1e-16,1.0
Cold,9.0,VPD,0.0740807875990867,1e-16,1.0
Cold,10.0,VPD,0.0649887546896934,1.1102230246251564e-14,0.8993818841740168
Cold,11.0,VPD,0.0561236180365085,5.2063242605981934e-11,0.6819670531926193
Cold,12.0,VPD,0.0471247993409633,6.0229583764837e-08,0.5005504742807949
Cold,13.0,VPD,0.0386159196496009,1.3051333741520564e-05,0.36221470288277774
Cold,14.0,VPD,0.0294513888657093,0.0010864325564172,0.24848592337493844
Cold,15.0,VPD,0.0213184487074613,0.0203148877801644,0.17316541023317633
Cold,16.0,VPD,0.0133372787386178,0.154256728781329,0.15000000000005925
Cold,17.0,VPD,0.0049827173352241,0.6013012253519199,0.15000000000005925
