bin_label,window,driver,rho_abs,p_adj,alpha_used
Cold,1.0,SII,0.019338378682732534,0.07830123709080677,0.15000000000005925
Cold,2.0,SII,0.019227614936729233,0.10063725244399879,0.15000000000005925
Cold,3.0,SII,0.02065969568987683,0.08034203269784017,0.15000000000005925
Cold,4.0,SII,0.0251437624295552,0.03793361909544743,0.1571035467697789
Cold,5.0,SII,0.028067985549569064,0.026785317733474267,0.16605377067066657
Cold,6.0,SII,0.032615910594662,0.010034507194658033,0.19130650634005175
Cold,7.0,SII,0.03669964956740534,0.005021770417058045,0.20911126406929492
Cold,8.0,SII,0.0397858389963706,0.002777557379876693,0.22434305565108337
Cold,9.0,SII,0.0416477334996064,0.0022427781609952973,0.22984349453413744
Cold,10.0,SII,0.043922385821739796,0.0016411098605018683,0.23787701655657364
Cold,11.0,SII,0.04700813318292297,0.00115138308951267,0.24699249229886658
Cold,12.0,SII,0.049683815489212635,0.0007035841902674547,0.2596605174548131
Cold,13.0,SII,0.051105943818887035,0.0005027620760321234,0.2683043265265562
Cold,14.0,SII,0.05284975220759707,0.0003233229043946141,0.2796589194850121
Cold,15.0,SII,0.05358286822835597,0.00019828710186655152,0.2922344520226021
Cold,16.0,SII,0.0559626904626687,6.403252031736839e-05,0.3213066640509386
Cold,17.0,SII,0.0589692319432894,2.3170982970777132e-05,0.34745102487305485
Cold,18.0,SII,0.0605732314288616,6.3903524475013756e-06,0.3805815396247563
Cold,19.0,SII,0.0622018699844678,2.1689950244023017e-06,0.4083728993025406
Cold,20.0,SII,0.06447129572431244,6.766563692324942e-07,0.4383332499191271
Cold,21.0,SII,0.06674410526951151,2.998794403907823e-07,0.4592639335436882
Cold,22.0,SII,0.06794203817844384,1.8318311475103619e-07,0.4719412850211638
Cold,23.0,SII,0.0688112949331601,1.4804775590645156e-07,0.4774184427154082
Cold,24.0,SII,0.06864620496829348,1.6596721071534168e-07,0.4744797693872327
Cold,25.0,SII,0.067858754346768,1.8448634923432886e-07,0.47175894936857893
Cold,26.0,SII,0.06826387966672577,1.8494913852270164e-07,0.4716945102353113
Cold,27.0,SII,0.06806878621379531,2.420516560519559e-07,0.4647739613663049
Cold,28.0,SII,0.06742270663380619,3.156318305238178e-07,0.4579471631028552
Cold,30.0,SII,0.06627236679196351,9.824424459144627e-07,0.428742738409707
Cold,40.0,SII,0.06912361954649286,9.24084297193595e-06,0.3710947965777227
Cold,50.0,SII,0.06219827880462007,0.00024448142337038,0.28684803643598566
Cold,60.0,SII,0.05656899139285084,0.001628076343216497,0.2380820992685262
Cold,75.0,SII,0.045798165102799694,0.055492189818574345,0.15000000000005925
Cold,90.0,SII,0.03318346291780474,0.2233927899950059,0.15000000000005925
Cold,1.0,PAR,0.0824819058179855,1e-16,1.0
Cold,2.0,PAR,0.06903588026762,1e-16,1.0
