bin_label,window,driver,rho_abs,p_adj,alpha_used
Cold,1.0,SII,0.01912408042699097,0.07545061929516507,0.15000000000005925
Cold,2.0,SII,0.018242497617999665,0.09895842165746173,0.15000000000005925
Cold,3.0,SII,0.0201286158214012,0.06774406448610323,0.15000000000005925
Cold,4.0,SII,0.025372436270117732,0.027303744164610802,0.1655607152230529
Cold,5.0,SII,0.028391697133580796,0.0183218971936057,0.17582120600015388
Cold,6.0,SII,0.032735396797458266,0.0066398328544975535,0.2019274957283148
Cold,7.0,SII,0.03667517937719817,0.0034735711990216012,0.21859172176914402
Cold,8.0,SII,0.039386204754312794,0.0022005282035242953,0.230332639831811
Cold,9.0,SII,0.0399662361790736,0.0024130811243717816,0.22796105542259698
Cold,10.0,SII,0.0416450289388497,0.0018816928576504235,0.23435851354087434
Cold,11.0,SII,0.0446265190839767,0.0013272082220063717,0.24333729456640024
Cold,12.0,SII,0.0472757741808891,0.0007540163906790128,0.2578799946030386
Cold,13.0,SII,0.04889481514692304,0.0005015283892068922,0.26836751685051136
Cold,14.0,SII,0.0510080146292845,0.00026847919061200986,0.28443974672204586
Cold,15.0,SII,0.05186778555313743,0.00015118676262025174,0.2992097793403703
Cold,16.0,SII,0.05442743500073746,4.387894208474584e-05,0.33102779215279915
Cold,17.0,SII,0.057192299515008864,1.539369753637369e-05,0.35796912063434205
Cold,18.0,SII,0.05879806602994597,3.900625299794551e-06,0.39327839476215487
Cold,19.0,SII,0.060448714842398894,1.2277772666694868e-06,0.42300921262221375
Cold,20.0,SII,0.06268352891008054,3.4480997013197623e-07,0.45567305754582604
Cold,21.0,SII,0.06492792814970012,1.385337309312007e-07,0.47912680729101603
Cold,22.0,SII,0.06601611648996666,7.917430044912521e-08,0.493516298524068
Cold,23.0,SII,0.0669463028510411,5.229718569310649e-08,0.5041827128244475
Cold,24.0,SII,0.0670039467513561,5.351639590737516e-08,0.503589977003084
Cold,25.0,SII,0.06620992844303443,6.041954484873695e-08,0.5004694816353762
Cold,26.0,SII,0.06671410053968425,5.8876867307470596e-08,0.5011347191928975
Cold,27.0,SII,0.06667729342977204,7.852371649204788e-08,0.49372851756989666
Cold,28.0,SII,0.0660605480273564,1.0098618052900578e-07,0.48725774644133013
Cold,30.0,SII,0.06505140289664263,3.1080281607624255e-07,0.4583437114226592
Cold,40.0,SII,0.06771851827700927,5.497522343356209e-06,0.38445222569670706
Cold,50.0,SII,0.06079469869534173,0.00018821469046747218,0.2935753170550887
