bin_label,window,driver,rho_abs,p_adj,alpha_used
Cool,1.0,SII,0.0089932720487316,0.7865040444358046,0.15000000000005925
Cool,2.0,SII,0.017420914334555466,0.6641036342062844,0.15000000000005925
Cool,3.0,SII,0.016298697019616736,0.621894185789667,0.15000000000005925
Cool,4.0,SII,0.03324038733262563,0.5766894104405772,0.15000000000005925
Cool,5.0,SII,0.028910588473081564,0.6119365554003383,0.15000000000005925
Cool,6.0,SII,0.0292653149614731,0.613610014586959,0.15000000000005925
Cool,7.0,SII,0.013010717462748267,0.8278538576201573,0.15000000000005925
Cool,8.0,SII,0.0005673545723160334,0.8903081407114227,0.15000000000005925
Cool,9.0,SII,0.00048619570831456675,0.8927870748923095,0.15000000000005925
Cool,10.0,SII,0.0023901911530022674,0.920502898933918,0.15000000000005925
Cool,11.0,SII,3.0296660649266744e-05,0.9590889000559365,0.15000000000005925
Cool,12.0,SII,0.0016224922728724667,0.9278819888301199,0.15000000000005925
Cool,13.0,SII,0.004589078637460867,0.8528983805136358,0.15000000000005925
Cool,14.0,SII,0.010186366736888866,0.7014197319445724,0.15000000000005925
Cool,15.0,SII,0.013673792903621966,0.6919340870657393,0.15000000000005925
Cool,16.0,SII,0.0171902050108959,0.7371071008541996,0.15000000000005925
Cool,17.0,SII,0.012964685602734434,0.7812931230610017,0.15000000000005925
Cool,18.0,SII,0.011191539155940169,0.779891334799027,0.15000000000005925
Cool,19.0,SII,0.0127444655324022,0.7347859375219423,0.15000000000005925
Cool,20.0,SII,0.018340718001127233,0.6799930363329922,0.15000000000005925
Cool,21.0,SII,0.017431957336763535,0.685704872727535,0.15000000000005925
Cool,22.0,SII,0.011135085485875565,0.7284271365559357,0.15000000000005925
Cool,23.0,SII,0.008524812757968866,0.7238632220432083,0.15000000000005925
Cool,24.0,SII,0.0124616520479321,0.7273862795943457,0.15000000000005925
Cool,25.0,SII,0.008943306903044367,0.7636716634979127,0.15000000000005925
Cool,26.0,SII,0.007927230869730333,0.7721927684819553,0.15000000000005925
Cool,27.0,SII,0.000644303858280198,0.7425926349954167,0.15000000000005925
Cool,28.0,SII,0.008345103589817866,0.7902370968101368,0.15000000000005925
Cool,30.0,SII,0.011729907554884768,0.7771898672813915,0.15000000000005925
Cool,40.0,SII,0.009824255791803202,0.6762805078776166,0.15000000000005925
Cool,50.0,SII,0.0020533396552006636,0.5954434820948323,0.15000000000005925
Cool,60.0,SII,0.037249206410100065,0.5887156188532712,0.15000000000005925
Cool,75.0,SII,0.07777086334923895,0.3252052207183292,0.15000000000005925
Cool,90.0,SII,0.08518118721743421,0.27054638730016445,0.15000000000005925
Cool,1.0,PAR,0.1052900850772857,0.0446744987620326,0.15289661607307872
Cool,2.0,PAR,0.1303696930408477,0.0125424242702367,0.18556865912762097
Cool,3.0,PAR,0.1506857722997665,0.0039784292087705,0.21510138829601155
Cool,4.0,PAR,0.1402796059846878,0.0085061367289294,0.19555656795796345
Cool,5.0,PAR,0.1573575884103775,0.0030479081739369,0.22195406822103675
Cool,6.0,PAR,0.1579271554946899,0.0028938606411437,0.22328802300152642
