scenario,omni_var,bin_id,bin_label,temp_mean,rho,n_eff,neff_factor,n,p_adj,window,ci_lower,ci_upper,data_type,display_bin_id
Global_High_LAI,f10_7_mean_ma1,0,Cold,-0.2093890309333801,-0.0055502420291304,4961.47686687783,0.0704115132106867,70464,0.6959073207735358,1,-0.03337230565119319,0.022280417033200467,F10.7,0.0
Global_High_LAI,f10_7_mean_ma2,0,Cold,-0.2093890309333801,-0.0053414250724017,4959.658472086388,0.0703857071992277,70464,0.7068597381891868,2,-0.033168813185557575,0.022494238146378576,F10.7,0.0
Global_High_LAI,f10_7_mean_ma3,0,Cold,-0.2093890309333801,-0.0055373343639075,4959.658472086388,0.0703857071992277,70464,0.6966322389786583,3,-0.033364511460060496,0.022298421328506325,F10.7,0.0
Global_High_LAI,f10_7_mean_ma4,0,Cold,-0.2093890309333801,-0.0050018550828099,4959.658472086388,0.0703857071992277,70464,0.724712071492887,4,-0.03282960389751268,0.02283364279208459,F10.7,0.0
Global_High_LAI,f10_7_mean_ma5,0,Cold,-0.2093890309333801,-0.0053787273354828,4959.658472086388,0.0703857071992277,70464,0.7049082133896625,5,-0.033206075434245086,0.022456953655426645,F10.7,0.0
Global_High_LAI,f10_7_mean_ma6,0,Cold,-0.2093890309333801,-0.0054213111288845,4959.658472086388,0.0703857071992277,70464,0.7026827487744995,6,-0.03324861345315379,0.02241439005581304,F10.7,0.0
Global_High_LAI,f10_7_mean_ma7,0,Cold,-0.2093890309333801,-0.0054101990535855,4959.658472086388,0.0703857071992277,70464,0.7032632304285511,7,-0.033237513332252215,0.022425496871351824,F10.7,0.0
Global_High_LAI,f10_7_mean_ma8,0,Cold,-0.2093890309333801,-0.0056148306466639,4959.658472086388,0.0703857071992277,70464,0.6926015686901477,8,-0.03344192368136088,0.022220961036232275,F10.7,0.0
Global_High_LAI,f10_7_mean_ma9,0,Cold,-0.2093890309333801,-0.0055058863945305,4959.658472086388,0.0703857071992277,70464,0.6982703371823016,9,-0.03333309750756071,0.02232985459762993,F10.7,0.0
Global_High_LAI,f10_7_mean_ma10,0,Cold,-0.2093890309333801,-0.0052892700769007,4959.658472086388,0.0703857071992277,70464,0.7095915360223755,10,-0.0331167140073809,0.022546368163565787,F10.7,0.0
Global_High_LAI,f10_7_mean_ma11,0,Cold,-0.2093890309333801,-0.0048860674723982,4959.658472086388,0.0703857071992277,70464,0.7308343649906437,11,-0.03271393781451975,0.022949372556096435,F10.7,0.0
