window,rho_obs,rho_surr_median,rho_surr_q025,rho_surr_q250,rho_surr_q750,rho_surr_q975,metric_name,metric_observed,metric_surrogate_p
1,-0.0462031626247979,-0.011456242868048451,-0.050528048595775046,-0.02605825335745385,0.002343475521102675,0.026950016086837753,signed_auc,-0.8460232221331693,0.029940119760479042
2,-0.0463449224393523,-0.013207279700348549,-0.056430724153131946,-0.030301388281265676,0.0015469375935385252,0.02860633726056268,signed_auc,-0.8460232221331693,0.029940119760479042
3,-0.0473446962498937,-0.014320321150326,-0.05678579244528364,-0.03145585923683795,0.001703461787402775,0.029361444662446074,signed_auc,-0.8460232221331693,0.029940119760479042
4,-0.049984994596754,-0.015168585389961301,-0.05974086813998998,-0.03196752958211517,0.0005768984817115,0.029722542115168483,signed_auc,-0.8460232221331693,0.029940119760479042
5,-0.0503730148739827,-0.016399881614281853,-0.06113972106678921,-0.03257631723158087,0.00041704012781305,0.029095758758765963,signed_auc,-0.8460232221331693,0.029940119760479042
6,-0.054133901917121,-0.0173394732288101,-0.06265312056646542,-0.033698083986582326,-8.683138054747317e-05,0.03027616155684161,signed_auc,-0.8460232221331693,0.029940119760479042
7,-0.0558247449414145,-0.0178663130143736,-0.06362111211647525,-0.0342049590279633,-0.0005950377011873,0.030140774766996517,signed_auc,-0.8460232221331693,0.029940119760479042
8,-0.0565356296012619,-0.01923926907116105,-0.06718171214562547,-0.03470021102296895,-0.001663813030001975,0.03109644334813889,signed_auc,-0.8460232221331693,0.029940119760479042
9,-0.0575479542464035,-0.01941538072361285,-0.06802784406371104,-0.03658016809583342,-0.002264173480665375,0.03254388574158883,signed_auc,-0.8460232221331693,0.029940119760479042
10,-0.0603068197465003,-0.02020950851769055,-0.07226986157287567,-0.036963563629937926,-0.0014782958710708,0.033448523905186975,signed_auc,-0.8460232221331693,0.029940119760479042
11,-0.0612872101188943,-0.02022433736932435,-0.07393893718948047,-0.038077834202733724,-0.002043907586882375,0.03417237549275397,signed_auc,-0.8460232221331693,0.029940119760479042
12,-0.0631659825500833,-0.02126750642641525,-0.07467757528181354,-0.0394011502894035,-0.0016278044727207,0.03190588037508233,signed_auc,-0.8460232221331693,0.029940119760479042
13,-0.0655917353744319,-0.02259006741784075,-0.07651816115119307,-0.03949290066487453,-0.0010742436860774,0.03229820690001008,signed_auc,-0.8460232221331693,0.029940119760479042
14,-0.0672562154265655,-0.02334004037476995,-0.07780271708682923,-0.039979707440033874,-0.00159609207326095,0.03128996588114825,signed_auc,-0.8460232221331693,0.029940119760479042
15,-0.0676083501360938,-0.024242156630874048,-0.0788150772402497,-0.04069873915669357,-0.0024109303741873503,0.03154815571357024,signed_auc,-0.8460232221331693,0.029940119760479042
16,-0.0681264622817013,-0.02485447536584505,-0.07790490057046016,-0.041725356847425954,-0.00279569467471075,0.033281830940486076,signed_auc,-0.8460232221331693,0.029940119760479042
17,-0.0705736335031092,-0.024482578984109,-0.07844630809942675,-0.042796001962545224,-0.003983817727164875,0.03474808693607572,signed_auc,-0.8460232221331693,0.029940119760479042
18,-0.0737774172514553,-0.02492516069283145,-0.0770079472045276,-0.04450275172811842,-0.0042183775500816995,0.03600557807846962,signed_auc,-0.8460232221331693,0.029940119760479042
19,-0.0768002702311473,-0.025427392077904648,-0.08071929469165644,-0.045498138234707955,-0.004860165178347775,0.03796875286393945,signed_auc,-0.8460232221331693,0.029940119760479042
20,-0.0809597163770114,-0.02534625978410645,-0.08056902768105877,-0.0465027624048917,-0.00528745872606635,0.04069716729181221,signed_auc,-0.8460232221331693,0.029940119760479042
21,-0.0841974425562978,-0.0244354618229042,-0.08402318167970343,-0.04631668699862032,-0.004980673967006525,0.04271577777986036,signed_auc,-0.8460232221331693,0.029940119760479042
22,-0.0868666341461293,-0.024285327708885848,-0.08735112556010816,-0.046856642654068054,-0.005358558526020201,0.04387421896118073,signed_auc,-0.8460232221331693,0.029940119760479042
23,-0.0879044764313076,-0.02497619591963865,-0.08894699457182763,-0.047818059140206426,-0.0051954677016558745,0.04358456327774379,signed_auc,-0.8460232221331693,0.029940119760479042
24,-0.0873715150856225,-0.02500458651654725,-0.0918432984368285,-0.0489301749140353,-0.0046857501925876,0.04115201313612881,signed_auc,-0.8460232221331693,0.029940119760479042
25,-0.0864917182719191,-0.02456585423991935,-0.09255910890513776,-0.04961843747322345,-0.0035598568167802998,0.04077697043582885,signed_auc,-0.8460232221331693,0.029940119760479042
26,-0.0863453461887963,-0.0250057825293149,-0.09360440768732954,-0.04859437858954095,-0.00389668434345485,0.044284028176948556,signed_auc,-0.8460232221331693,0.029940119760479042
27,-0.0839532593921014,-0.02437510826471885,-0.09354838572286774,-0.048050460068086345,-0.003131834390149975,0.044367865339806474,signed_auc,-0.8460232221331693,0.029940119760479042
28,-0.0822564082176154,-0.02364285354315475,-0.09337399560665607,-0.04740164430563787,-0.0013327861865690999,0.04747202453909816,signed_auc,-0.8460232221331693,0.029940119760479042
30,-0.0790283595460664,-0.02257918702203375,-0.09541055085597615,-0.0464876976197457,0.0026083985714083252,0.05207662068590265,signed_auc,-0.8460232221331693,0.029940119760479042
40,-0.0645005146299443,-0.0081893429271707,-0.09408865109974483,-0.03675018844163785,0.0202433732063061,0.07542867904132788,signed_auc,-0.8460232221331693,0.029940119760479042
50,-0.0362662115059907,0.0048338279151490995,-0.08066135617332397,-0.029869728102769173,0.03571102098699103,0.0857705267760797,signed_auc,-0.8460232221331693,0.029940119760479042
60,-0.0080223840760236,0.00526481330580765,-0.07316788759361442,-0.020097697837078897,0.035239963297341595,0.07664190831222234,signed_auc,-0.8460232221331693,0.029940119760479042
75,0.0535724594515151,0.0045726923678456495,-0.05658579505853817,-0.01657138241679985,0.027675770963471652,0.06173781982038346,signed_auc,-0.8460232221331693,0.029940119760479042
90,0.1048215291139503,-0.0016914260629935498,-0.04561674330433594,-0.02183369521274275,0.016111590345888827,0.040369905965094544,signed_auc,-0.8460232221331693,0.029940119760479042
