metric,bin,mask,mode,sii_step,par_step,vpd_step,beta_sii,t_sii,p_sii,n_eff,n,t_par,t_vpd
sif_740nm,Cold,Global_High_LAI,MA,26.0,28.0,2.0,-0.000981694,-19.59417128294182,0.0,51657.656086367744,70464.0,-2.476759293543353,-22.443649659177357
sif_740nm,Cold,SAA_High_LAI,MA,27.0,1.0,24.0,-0.0007231953,-1.3163587,0.1881824071569791,2347.5738808181013,2308.0,-0.16409498,-1.1784859
sif_740nm,Cold,Control_North,MA,26.0,28.0,17.0,-0.001037049,-20.625177,0.0,44339.33828842599,64197.0,-14.003699,0.43882555
sif_740nm,Cold,Sahara_Barren,MA,,,,,,,,,,
sif_740nm,Cool,Global_High_LAI,MA,14.0,10.0,26.0,-0.0003980918,-10.338393988809711,0.0,51881.20778121691,70876.0,3.6415739377214553,-9.276440035429289
sif_740nm,Cool,SAA_High_LAI,MA,15.0,14.0,28.0,-0.0003736994,-1.9910911,0.0465019576554954,8741.700959797414,7877.0,-5.003994,0.5242256
sif_740nm,Cool,Control_North,MA,14.0,28.0,18.0,-0.0005122832,-14.124939,0.0,31943.608597439656,55103.0,-21.93493,5.664907
sif_740nm,Cool,Sahara_Barren,MA,1.0,1.0,13.0,0.00029832846,2.6815467,0.0074413578350089,1071.0897121917828,832.0,-2.1128507,4.578598
sif_740nm,Optimum,Global_High_LAI,MA,25.0,11.0,10.0,0.00044265547,8.002995984180211,1.1102230246251563e-15,115847.25866155163,119569.0,-9.156364909178476,-13.316503066928384
sif_740nm,Optimum,SAA_High_LAI,MA,1.0,2.0,1.0,0.00044458517,4.006578,6.18209494802624e-05,20630.780749753038,19018.0,-6.9915323,-4.381435
sif_740nm,Optimum,Control_North,MA,28.0,1.0,2.0,0.0002477951,4.2956023,1.748387567057641e-05,26540.316825905466,36500.0,-7.891967,9.258803
sif_740nm,Optimum,Sahara_Barren,MA,4.0,20.0,2.0,-0.00025957596,-3.1317723,0.0017542040494546,3018.229496751293,2889.0,-1.4767001,2.0703619
sif_740nm,Warm_Stress,Global_High_LAI,MA,7.0,6.0,7.0,0.00019778592,5.38528429368514,7.254672174106247e-08,75128.1689846,78125.0,-8.322956873507819,-26.597024329711715
sif_740nm,Warm_Stress,SAA_High_LAI,MA,24.0,9.0,28.0,-0.0009683619,-3.3037946,0.0009562936265017,13754.780346872616,12770.0,-5.1420507,-6.1740665
sif_740nm,Warm_Stress,Control_North,MA,19.0,15.0,23.0,0.0006035584,4.3810143,1.2235233270097012e-05,2880.8118768293643,4544.0,-2.1958833,3.6922314
sif_740nm,Warm_Stress,Sahara_Barren,MA,26.0,1.0,14.0,0.0009818093,2.4925187,0.0129533715237311,602.4662457904282,524.0,-3.3351576,-2.490984
sif_740nm,Extreme_Heat,Global_High_LAI,MA,28.0,28.0,24.0,0.0006831607,6.454800605773926,1.1133627353387964e-10,16763.239968499693,19286.0,2.2669482231140137,-0.3123820722103119
sif_740nm,Extreme_Heat,SAA_High_LAI,MA,11.0,28.0,27.0,-0.0022360608,-3.3790483,0.0007583374201518,911.93068530345,905.0,-2.2363427,-0.75441307
sif_740nm,Extreme_Heat,Control_North,MA,3.0,1.0,16.0,0.0003215067,3.2717578,0.0011281500950579,623.7714089206899,766.0,-2.1285722,3.0503695
sif_740nm,Extreme_Heat,Sahara_Barren,MA,22.0,28.0,7.0,0.0017900659,2.4905722,0.0140265735358384,132.77042615537147,96.0,-0.38995293,0.78050333
sif_757nm,Cold,Global_High_LAI,MA,26.0,28.0,2.0,-0.00056505855,-17.248997120724024,0.0,49461.36407986069,70464.0,-5.401653235971919,-23.059445113572192
sif_757nm,Cold,SAA_High_LAI,MA,3.0,10.0,26.0,0.0001336851,0.96421665,0.3350285793850396,2558.687435430197,2308.0,0.36329263,-0.8902641
