target,scenario,bin_id,bin_label,mode,n_windows,p_sii_win
sif_740nm,Control_North,0,Cold,ALL,66,0.9545454545454546
sif_740nm,Control_North,0,Cold,LAG,32,0.9375
sif_740nm,Control_North,0,Cold,MA,34,0.9705882352941176
sif_740nm,Control_North,1,Cool,ALL,66,0.8787878787878788
sif_740nm,Control_North,1,Cool,LAG,32,0.78125
sif_740nm,Control_North,1,Cool,MA,34,0.9705882352941176
sif_740nm,Control_North,2,Optimum,ALL,66,0.48484848484848486
sif_740nm,Control_North,2,Optimum,LAG,32,0.5
sif_740nm,Control_North,2,Optimum,MA,34,0.47058823529411764
sif_740nm,Control_North,3,Warm_Stress,ALL,66,0.9242424242424242
sif_740nm,Control_North,3,Warm_Stress,LAG,32,0.84375
sif_740nm,Control_North,3,Warm_Stress,MA,34,1.0
sif_740nm,Control_North,4,Extreme_Heat,ALL,66,0.45454545454545453
sif_740nm,Control_North,4,Extreme_Heat,LAG,32,0.46875
sif_740nm,Control_North,4,Extreme_Heat,MA,34,0.4411764705882353
sif_740nm,Global_High_LAI,0,Cold,ALL,66,0.9545454545454546
sif_740nm,Global_High_LAI,0,Cold,LAG,32,0.9375
sif_740nm,Global_High_LAI,0,Cold,MA,34,0.9705882352941176
sif_740nm,Global_High_LAI,1,Cool,ALL,66,0.8636363636363636
sif_740nm,Global_High_LAI,1,Cool,LAG,32,0.71875
sif_740nm,Global_High_LAI,1,Cool,MA,34,1.0
sif_740nm,Global_High_LAI,2,Optimum,ALL,66,0.7121212121212122
sif_740nm,Global_High_LAI,2,Optimum,LAG,32,0.5
sif_740nm,Global_High_LAI,2,Optimum,MA,34,0.9117647058823529
sif_740nm,Global_High_LAI,3,Warm_Stress,ALL,66,0.6666666666666666
sif_740nm,Global_High_LAI,3,Warm_Stress,LAG,32,0.4375
sif_740nm,Global_High_LAI,3,Warm_Stress,MA,34,0.8823529411764706
sif_740nm,Global_High_LAI,4,Extreme_Heat,ALL,66,0.0
sif_740nm,Global_High_LAI,4,Extreme_Heat,LAG,32,0.0
sif_740nm,Global_High_LAI,4,Extreme_Heat,MA,34,0.0
sif_740nm,SAA_High_LAI,0,Cold,ALL,66,0.0
sif_740nm,SAA_High_LAI,0,Cold,LAG,32,0.0
sif_740nm,SAA_High_LAI,0,Cold,MA,34,0.0
sif_740nm,SAA_High_LAI,1,Cool,ALL,66,0.6363636363636364
sif_740nm,SAA_High_LAI,1,Cool,LAG,32,0.59375
sif_740nm,SAA_High_LAI,1,Cool,MA,34,0.6764705882352942
sif_740nm,SAA_High_LAI,2,Optimum,ALL,66,0.5303030303030303
sif_740nm,SAA_High_LAI,2,Optimum,LAG,32,0.21875
sif_740nm,SAA_High_LAI,2,Optimum,MA,34,0.8235294117647058
sif_740nm,SAA_High_LAI,3,Warm_Stress,ALL,66,0.4090909090909091
sif_740nm,SAA_High_LAI,3,Warm_Stress,LAG,32,0.53125
sif_740nm,SAA_High_LAI,3,Warm_Stress,MA,34,0.29411764705882354
sif_740nm,SAA_High_LAI,4,Extreme_Heat,ALL,66,0.5606060606060606
sif_740nm,SAA_High_LAI,4,Extreme_Heat,LAG,32,0.59375
sif_740nm,SAA_High_LAI,4,Extreme_Heat,MA,34,0.5294117647058824
sif_740nm,Sahara_Barren,1,Cool,ALL,66,0.18181818181818182
sif_740nm,Sahara_Barren,1,Cool,LAG,32,0.125
sif_740nm,Sahara_Barren,1,Cool,MA,34,0.23529411764705882
sif_740nm,Sahara_Barren,2,Optimum,ALL,66,0.7575757575757576
sif_740nm,Sahara_Barren,2,Optimum,LAG,32,0.65625
sif_740nm,Sahara_Barren,2,Optimum,MA,34,0.8529411764705882
sif_740nm,Sahara_Barren,3,Warm_Stress,ALL,66,0.3333333333333333
sif_740nm,Sahara_Barren,3,Warm_Stress,LAG,32,0.25
sif_740nm,Sahara_Barren,3,Warm_Stress,MA,34,0.4117647058823529
sif_740nm,Sahara_Barren,4,Extreme_Heat,ALL,66,0.16666666666666666
sif_740nm,Sahara_Barren,4,Extreme_Heat,LAG,32,0.0625
sif_740nm,Sahara_Barren,4,Extreme_Heat,MA,34,0.2647058823529412
sif_757nm,Control_North,0,Cold,ALL,66,0.6363636363636364
sif_757nm,Control_North,0,Cold,LAG,32,0.53125
sif_757nm,Control_North,0,Cold,MA,34,0.7352941176470589
sif_757nm,Control_North,1,Cool,ALL,66,0.6818181818181818
sif_757nm,Control_North,1,Cool,LAG,32,0.40625
sif_757nm,Control_North,1,Cool,MA,34,0.9411764705882353
sif_757nm,Control_North,2,Optimum,ALL,66,0.6666666666666666
sif_757nm,Control_North,2,Optimum,LAG,32,0.5
sif_757nm,Control_North,2,Optimum,MA,34,0.8235294117647058
sif_757nm,Control_North,3,Warm_Stress,ALL,66,0.5757575757575758
sif_757nm,Control_North,3,Warm_Stress,LAG,32,0.25
sif_757nm,Control_North,3,Warm_Stress,MA,34,0.8823529411764706
sif_757nm,Control_North,4,Extreme_Heat,ALL,66,0.6515151515151515
sif_757nm,Control_North,4,Extreme_Heat,LAG,32,0.71875
sif_757nm,Control_North,4,Extreme_Heat,MA,34,0.5882352941176471
sif_757nm,Global_High_LAI,0,Cold,ALL,66,0.4393939393939394
sif_757nm,Global_High_LAI,0,Cold,LAG,32,0.53125
sif_757nm,Global_High_LAI,0,Cold,MA,34,0.35294117647058826
sif_757nm,Global_High_LAI,1,Cool,ALL,66,0.696969696969697
sif_757nm,Global_High_LAI,1,Cool,LAG,32,0.4375
sif_757nm,Global_High_LAI,1,Cool,MA,34,0.9411764705882353
sif_757nm,Global_High_LAI,2,Optimum,ALL,66,0.0
sif_757nm,Global_High_LAI,2,Optimum,LAG,32,0.0
sif_757nm,Global_High_LAI,2,Optimum,MA,34,0.0
sif_757nm,Global_High_LAI,3,Warm_Stress,ALL,66,0.030303030303030304
sif_757nm,Global_High_LAI,3,Warm_Stress,LAG,32,0.0625
sif_757nm,Global_High_LAI,3,Warm_Stress,MA,34,0.0
sif_757nm,Global_High_LAI,4,Extreme_Heat,ALL,66,0.0
sif_757nm,Global_High_LAI,4,Extreme_Heat,LAG,32,0.0
sif_757nm,Global_High_LAI,4,Extreme_Heat,MA,34,0.0
sif_757nm,SAA_High_LAI,0,Cold,ALL,66,0.48484848484848486
sif_757nm,SAA_High_LAI,0,Cold,LAG,32,0.4375
sif_757nm,SAA_High_LAI,0,Cold,MA,34,0.5294117647058824
sif_757nm,SAA_High_LAI,1,Cool,ALL,66,0.8636363636363636
sif_757nm,SAA_High_LAI,1,Cool,LAG,32,0.75
sif_757nm,SAA_High_LAI,1,Cool,MA,34,0.9705882352941176
sif_757nm,SAA_High_LAI,2,Optimum,ALL,66,0.6363636363636364
sif_757nm,SAA_High_LAI,2,Optimum,LAG,32,0.28125
sif_757nm,SAA_High_LAI,2,Optimum,MA,34,0.9705882352941176
